case_id,evaluation_kind,case_type,stratum,split,query,source_exact_family_key,relevant_exact_family_keys,forbidden_exact_family_keys,observed_decision,observed_mode,observed_visual_exact_family_keys,failures
VGI-36E6BA457E3BEB2A,safety,negative_non_marker_punctuation,punctuation_marker_collision_guard,development,URO*SOLVINEN,UROSOLVINEN,,,visual_gap_matches,internal,,unexpected_visual_gap_dispatch
VGI-53E23F4CD7235073,safety,negative_non_marker_punctuation,punctuation_marker_collision_guard,development,MOO*VMASSAGE,MOOVMASSAGE,,,visual_gap_matches,internal,,unexpected_visual_gap_dispatch
