case_id,suite,rule_id,case_type,split,query,product_context,passed,failure_count,failures,expected_families,observed_families,decision_type,status,candidate_count,elapsed_ms
VG-PROTO-040CE63FA4F5E9,visual_gap,VG-METRIC-DIRECT-CL-TO-D,positive,challenge,CLICY...,,0,2,hidden_character_count:3!=4|visible_coverage:0.625!=0.5,DICYNONE,DICYNONE,visual_gap_matches,ambiguous,1,188.540
VG-PROTO-402EA26735290C,visual_gap,VG-SHORTHAND-PUNCTUATION-GUARD,negative,challenge,PANA.DOL,,0,1,unexpected_visual_gap_dispatch,,PANADOLEXTRA;PANADOLADVANCE;PANADOLJOINTER;PANADOLMIGRAINE;PANADOLCOLDFLUDAY;PANADOLACUTEHEADCOLD;PANADOLEXTRAOPTIZORB;PANADOLSINUSRELIEFPE;PANADOLCOLDFLUVAPOURRELEASE;PANAXPANTHENOL,visual_gap_matches,ambiguous,10,211.838
VG-PROTO-4A7DAE87C8295B,visual_gap,VG-SHORTHAND-PUNCTUATION-GUARD,negative,challenge,PANA-DOL,,0,1,unexpected_visual_gap_dispatch,,PANADOLEXTRA;PANADOLADVANCE;PANADOLJOINTER;PANADOLMIGRAINE;PANADOLCOLDFLUDAY;PANADOLACUTEHEADCOLD;PANADOLEXTRAOPTIZORB;PANADOLSINUSRELIEFPE;PANADOLCOLDFLUVAPOURRELEASE;PANAXPANTHENOL,visual_gap_matches,ambiguous,10,195.774
VG-PROTO-597416F3A1D843,visual_gap,VG-METRIC-DIRECT-D-TO-CL,positive,challenge,BACTID...,,0,2,hidden_character_count:3!=2|visible_coverage:0.666667!=0.7777777778,BACTICLOR,BACTICLOR;ACTIDIOR;BACTIRIX;BACTIFLOX;BACTIZOLID;BACTICEFDIN;BACTICIDEHANDSKINANTISEPTIC,visual_gap_matches,ambiguous,7,160.827
VG-PROTO-803C390238DC02,visual_gap,VG-PARSER-MARKER-ONLY,boundary,challenge,...,,0,1,response_confirmation_required_false,,,no_match,no_match,0,57.620
VG-PROTO-954DE693362AFA,visual_gap,VG-METRIC-DIRECT-D-TO-CL,positive,challenge,...TIDOR,,0,2,hidden_character_count:4!=3|visible_coverage:0.555556!=0.6666666667,BACTICLOR,BACTICLOR;ACTIDIOR;NAFTIDUR;POSTINOR;RANTIDOL;FEROGALTINOR;OSTEOGALTINOR,visual_gap_matches,ambiguous,7,178.675
VG-PROTO-B6ED002D267E53,visual_gap,VG-EDGE-COMPACT-ANCHOR,positive,challenge,(...TRIL,,0,2,missing_expected_family:RIVOTRIL|visual_mode:internal!=leading,RIVOTRIL,,visual_gap_matches,no_match,0,214.662
VG-PROTO-BE6F5642D07ADE,visual_gap,VG-EDGE-COMPACT-ANCHOR,positive,challenge,RIVO... ),,0,2,missing_expected_family:RIVOTRIL|visual_mode:internal!=trailing,RIVOTRIL,RIVOMICRO;RIVO,visual_gap_matches,ambiguous,2,147.885
